"site","round","sample_pt","sample_id","year","barcode_id","active_flower","final_id","notes","plate","well","date","julian_date","lat","long"
"ED",4,"ED10","4_ED10",2022,"ED4_10_07","RUAR","B. impatiens","","impatiens_DNA_05","F8",2020-06-27,178,"49.1053113","-122.9572629"
"ED",4,"ED10","4_ED10",2022,"ED4_10_08","RUAR","B. mixtus","","mixtus_DNA_01","D10",2020-06-27,178,"49.1053113","-122.9572629"
"ED",4,"ED12","4_ED12",2022,"ED4_12_01","RONU","B. impatiens","","impatiens_DNA_09","A8",2020-06-27,178,"49.0941941","-122.9295817"
"ED",4,"ED12","4_ED12",2022,"ED4_12_02","RONU","B. impatiens","","impatiens_DNA_07","H7",2020-06-27,178,"49.0941941","-122.9295817"
"ED",4,"ED13","4_ED13",2022,"ED4_13_01","RUAR","B. impatiens","","impatiens_DNA_11","H10",2020-06-27,178,"49.0968308","-122.9358556"
"ED",4,"ED13","4_ED13",2022,"ED4_13_03","RUAR","B. mixtus","","mixtus_DNA_01","C6",2020-06-27,178,"49.0968308","-122.9358556"
"ED",4,"ED17","4_ED17",2022,"ED4_17_01","CHAN","B. mixtus","","mixtus_DNA_01","C2",2020-06-27,178,"49.0940828","-122.9349878"
"ED",4,"ED31","4_ED31",2022,"ED4_31_01","TRRE","B. impatiens","","impatiens_DNA_06","H1",2020-06-27,178,"49.091685","-122.9349074"
"ED",5,"ED01","5_ED01",2022,"ED5_01_03","flying","B. impatiens","","impatiens_DNA_06","H11",2020-07-09,190,"49.0954133","-122.9487118"
"ED",5,"ED06","5_ED06",2022,"ED5_06_01","SIOR","B. mixtus","","mixtus_DNA_07","D6",2020-07-08,189,"49.0937503","-122.9571174"
"ED",5,"ED07","5_ED07",2022,"ED5_07_01","SIOR","B. mixtus","","mixtus_DNA_01","A1",2020-07-09,190,"49.0970105","-122.9571978"
"ED",5,"ED07","5_ED07",2022,"ED5_07_02","SIOR","B. impatiens","","impatiens_DNA_06","H8",2020-07-09,190,"49.0970105","-122.9571978"
"ED",5,"ED09","5_ED09",2022,"ED5_09_01","TRRE","B. mixtus","","mixtus_DNA_01","A2",2020-07-09,190,"49.1028941","-122.9571922"
"ED",5,"ED10","5_ED10",2022,"ED5_10_01","RUAR","B. mixtus","","mixtus_DNA_01","B4",2020-07-09,190,"49.1053113","-122.9572629"
"ED",5,"ED10","5_ED10",2022,"ED5_10_02","RUAR","B. impatiens","","impatiens_DNA_11","A12",2020-07-09,190,"49.1053113","-122.9572629"
"ED",5,"ED10","5_ED10",2022,"ED5_10_03","RUAR","B. mixtus","","mixtus_DNA_01","B1",2020-07-09,190,"49.1053113","-122.9572629"
"ED",5,"ED10","5_ED10",2022,"ED5_10_04","RUAR","B. mixtus","","mixtus_DNA_01","D7",2020-07-09,190,"49.1053113","-122.9572629"
"ED",5,"ED10","5_ED10",2022,"ED5_10_05","RUAR","B. impatiens","","impatiens_DNA_12","A10",2020-07-09,190,"49.1053113","-122.9572629"
"ED",5,"ED10","5_ED10",2022,"ED5_10_06","RUAR","B. mixtus","","mixtus_DNA_01","B7",2020-07-09,190,"49.1053113","-122.9572629"
"ED",5,"ED10","5_ED10",2022,"ED5_10_07","RUAR","B. impatiens","","impatiens_DNA_12","C6",2020-07-09,190,"49.1053113","-122.9572629"
"ED",5,"ED11","5_ED11",2022,"ED5_11_01","RUAR","B. mixtus","queen","mixtus_DNA_01","B11",2020-07-09,190,"49.0998336","-122.9364988"
"ED",5,"ED11","5_ED11",2022,"ED5_11_02","RUAR","B. impatiens","","impatiens_DNA_11","A1",2020-07-09,190,"49.0998336","-122.9364988"
"ED",5,"ED11","5_ED11",2022,"ED5_11_03","RUAR","B. impatiens","","impatiens_DNA_11","A6",2020-07-09,190,"49.0998336","-122.9364988"
"ED",5,"ED12","5_ED12",2022,"ED5_12_01","SPDO","B. mixtus","","mixtus_DNA_07","G9",2020-07-08,189,"49.0941941","-122.9295817"
"ED",5,"ED13","5_ED13",2022,"ED5_13_02","RUAR","B. mixtus","","mixtus_DNA_07","C4",2020-07-08,189,"49.0968308","-122.9358556"
"ED",5,"ED13","5_ED13",2022,"ED5_13_03","TRRE","B. mixtus","","mixtus_DNA_07","D1",2020-07-08,189,"49.0968308","-122.9358556"
"ED",5,"ED14","5_ED14",2022,"ED5_14_02","SPDO","B. mixtus","","mixtus_DNA_01","A5",2020-07-09,190,"49.0974916","-122.9390522"
"ED",5,"ED15","5_ED15",2022,"ED5_15_01","RUAR","B. impatiens","male","impatiens_DNA_11","F6",2020-07-08,189,"49.0918464","-122.9461469"
"ED",5,"ED15","5_ED15",2022,"ED5_15_02","SOAR","B. mixtus","","mixtus_DNA_07","D4",2020-07-08,189,"49.0918464","-122.9461469"
"ED",5,"ED15","5_ED15",2022,"ED5_15_03","SOAR","B. mixtus","","mixtus_DNA_07","C9",2020-07-08,189,"49.0918464","-122.9461469"
"ED",5,"ED22B","5_ED22B",2022,"ED5_22B_01","TRRE","B. impatiens","","impatiens_DNA_11","E7",2020-07-09,190,"49.1046204","-122.9460145"
"ED",5,"ED24A","5_ED24A",2022,"ED5_24A_01","flying","B. impatiens","","impatiens_DNA_06","G5",2020-07-09,190,"49.1046616","-122.940654"
"ED",5,"ED25A","5_ED25A",2022,"ED5_25A_01","SPDO","B. mixtus","","mixtus_DNA_01","A4",2020-07-09,190,"49.1009682","-122.9383971"
"ED",5,"ED25A","5_ED25A",2022,"ED5_25A_02","SPDO","B. mixtus","","mixtus_DNA_01","B5",2020-07-09,190,"49.1009682","-122.9383971"
"ED",5,"ED25A","5_ED25A",2022,"ED5_25A_03","SPDO","B. mixtus","","mixtus_DNA_07","A12",2020-07-09,190,"49.1009682","-122.9383971"
"ED",5,"ED25A","5_ED25A",2022,"ED5_25A_04","SPDO","B. mixtus","","mixtus_DNA_01","A11",2020-07-09,190,"49.1009682","-122.9383971"
"ED",5,"ED27","5_ED27",2022,"ED5_27_08","VICR","B. impatiens","","impatiens_DNA_08","F12",2020-07-09,190,"49.1002059","-122.9312067"
"ED",5,"ED27A","5_ED27A",2022,"ED5_27A_02","VICR","B. impatiens","","impatiens_DNA_09","B5",2020-07-09,190,"49.1002656","-122.9297475"
"ED",5,"ED32","5_ED32",2022,"ED5_32_03","TRRE","B. impatiens","","impatiens_DNA_10","A1",2020-07-08,189,"49.0910852","-122.9303897"
"ED",6,"ED01","6_ED01",2022,"ED6_01_01","VICR","B. impatiens","","impatiens_DNA_06","G8",2020-07-21,202,"49.0954133","-122.9487118"
"ED",6,"ED01","6_ED01",2022,"ED6_01_04","TRHY","B. impatiens","","impatiens_DNA_06","G9",2020-07-21,202,"49.0954133","-122.9487118"
"ED",6,"ED01","6_ED01",2022,"ED6_01_05","TRHY","B. impatiens","","impatiens_DNA_08","C10",2020-07-21,202,"49.0954133","-122.9487118"
"ED",6,"ED01","6_ED01",2022,"ED6_01_06","TRHY","B. impatiens","","impatiens_DNA_07","D8",2020-07-21,202,"49.0954133","-122.9487118"
"ED",6,"ED01","6_ED01",2022,"ED6_01_07","CASI","B. impatiens","","impatiens_DNA_06","D6",2020-07-21,202,"49.0954133","-122.9487118"
"ED",6,"ED02","6_ED02",2022,"ED6_02_01","SPDO","B. impatiens","","impatiens_DNA_06","D7",2020-07-21,202,"49.0907749","-122.9404472"
"ED",6,"ED02","6_ED02",2022,"ED6_02_02","SPDO","B. mixtus","","mixtus_DNA_05","D4",2020-07-21,202,"49.0907749","-122.9404472"
"ED",6,"ED05","6_ED05",2022,"ED6_05_01","SPDO","B. impatiens","","impatiens_DNA_07","E2",2020-07-21,202,"49.0935866","-122.9462978"
"ED",6,"ED06","6_ED06",2022,"ED6_06_02","CHAN","B. mixtus","queen","mixtus_DNA_05","D1",2020-07-21,202,"49.0937503","-122.9571174"
"ED",6,"ED06","6_ED06",2022,"ED6_06_03","CHAN","B. mixtus","","mixtus_DNA_05","F7",2020-07-21,202,"49.0937503","-122.9571174"
"ED",6,"ED06","6_ED06",2022,"ED6_06_04","CHAN","B. mixtus","","mixtus_DNA_04","H6",2020-07-21,202,"49.0937503","-122.9571174"
"ED",6,"ED06","6_ED06",2022,"ED6_06_05","CHAN","B. impatiens","","impatiens_DNA_06","F5",2020-07-21,202,"49.0937503","-122.9571174"
"ED",6,"ED07","6_ED07",2022,"ED6_07_02","SIOR","B. mixtus","","mixtus_DNA_05","C1",2020-07-21,202,"49.0970105","-122.9571978"
"ED",6,"ED07","6_ED07",2022,"ED6_07_03","EPCI","B. impatiens","","impatiens_DNA_10","A3",2020-07-21,202,"49.0970105","-122.9571978"
"ED",6,"ED09","6_ED09",2022,"ED6_09_01","TRRE","B. impatiens","","impatiens_DNA_12","A4",2020-07-21,202,"49.1028941","-122.9571922"
"ED",6,"ED09","6_ED09",2022,"ED6_09_02","TRRE","B. impatiens","","impatiens_DNA_05","G12",2020-07-21,202,"49.1028941","-122.9571922"
"ED",6,"ED09","6_ED09",2022,"ED6_09_03","TRRE","B. impatiens","","impatiens_DNA_07","G10",2020-07-21,202,"49.1028941","-122.9571922"
"ED",6,"ED09","6_ED09",2022,"ED6_09_04","TRRE","B. mixtus","","mixtus_DNA_05","C12",2020-07-21,202,"49.1028941","-122.9571922"
"ED",6,"ED09","6_ED09",2022,"ED6_09_05","TRRE","B. impatiens","","impatiens_DNA_08","E8",2020-07-21,202,"49.1028941","-122.9571922"
"ED",6,"ED10","6_ED10",2022,"ED6_10_01","TRRE","B. mixtus","","mixtus_DNA_05","F10",2020-07-21,202,"49.1053113","-122.9572629"
"ED",6,"ED12","6_ED12",2022,"ED6_12_03","TRRE","B. impatiens","","impatiens_DNA_11","G1",2020-07-21,202,"49.0941941","-122.9295817"
"ED",6,"ED13","6_ED13",2022,"ED6_13_02","TRRE","B. impatiens","","impatiens_DNA_05","H1",2020-07-21,202,"49.0968308","-122.9358556"
