"","individual","truecolony","BT10_1","BT10_2","B96_1","B96_2","BTMS0059_1","BTMS0059_2","BTMS0081_1","BTMS0081_2","BTMS0062_1","BTMS0062_2","B126_1","B126_2","BTERN01_1","BTERN01_2","B124_1","B124_2","BTMS0057_1","BTMS0057_2","BT30_1","BT30_2","B10_1","B10_2","BTMS0083_1","BTMS0083_2"
"1984","Ind1984",19894,155,171,242,242,355,355,308,308,292,252,172,168,143,135,271,263,120,120,191,191,206,238,282,282
"1922","Ind1922",19371,157,159,242,242,339,355,308,308,272,248,178,182,135,135,263,271,124,124,191,191,206,198,282,300
"208","Ind208",2135,173,157,242,240,355,359,312,312,286,252,164,168,135,139,265,263,124,116,191,191,206,206,304,286
"1179","Ind1179",11991,167,161,240,242,355,339,312,308,252,258,168,170,135,133,265,267,120,124,191,191,206,212,286,294
"1192","Ind1192",12127,171,167,246,240,359,339,312,312,292,266,164,176,135,135,275,267,118,118,200,185,206,206,294,306
"146","Ind146",1475,163,155,240,242,363,355,312,312,298,248,174,168,137,135,267,259,124,118,191,188,206,214,282,286
"1953","Ind1953",19660,159,143,242,240,363,355,312,312,296,298,168,170,139,135,267,263,124,124,188,191,198,204,294,290
"495","Ind495",4976,165,171,238,244,363,339,312,312,248,278,168,170,137,135,267,263,124,124,191,191,206,204,294,290
"754","Ind754",7458,153,163,240,240,355,359,308,312,272,288,170,178,137,133,263,273,124,124,191,191,190,206,284,290
"1972","Ind1972",19819,169,175,246,246,363,359,308,308,266,282,164,178,135,143,259,261,120,116,188,191,190,206,288,282
"289","Ind289",2977,159,161,242,242,339,359,312,308,278,278,164,170,143,137,271,259,120,126,191,194,206,198,292,284
"1341","Ind1341",13531,175,151,240,240,355,339,312,308,286,286,166,168,139,139,269,263,112,120,200,191,204,206,292,298
"201","Ind201",2061,143,177,242,240,355,355,312,308,292,252,176,182,141,135,263,263,124,124,191,191,204,206,290,294
"1099","Ind1099",11095,157,159,242,242,355,355,312,312,272,272,168,170,141,143,267,271,124,120,191,191,208,204,290,292
"1531","Ind1531",15492,171,153,240,240,355,355,312,312,278,248,178,170,137,139,271,259,124,118,191,200,206,206,306,286
"226","Ind226",2308,157,153,238,240,363,355,312,308,278,266,176,182,133,135,263,267,120,124,188,188,204,238,286,290
"632","Ind632",6186,143,157,238,240,355,359,312,312,288,278,172,170,143,137,269,269,124,120,191,191,206,214,306,290
"1681","Ind1681",16790,161,157,240,242,355,363,308,312,266,292,176,168,141,135,267,269,120,118,0,0,204,208,300,292
"1533","Ind1533",15494,157,159,248,240,355,355,308,312,272,248,170,170,137,137,259,269,112,124,191,191,214,206,294,292
"1415","Ind1415",14309,157,153,242,242,355,359,308,316,296,298,178,170,143,143,263,267,120,116,188,191,206,206,282,282
"1397","Ind1397",14110,171,169,242,250,355,355,312,312,272,290,176,170,141,135,267,265,120,116,191,191,208,198,286,286
"1265","Ind1265",12675,167,157,238,246,355,359,312,312,282,278,170,170,143,141,269,273,118,120,188,191,200,206,306,284
"1293","Ind1293",12975,157,165,248,240,359,355,312,312,286,252,170,170,141,141,263,267,124,118,191,191,206,206,292,282
"1508","Ind1508",15232,155,171,242,242,359,355,308,308,278,248,168,170,143,135,271,269,124,120,191,191,198,210,298,294
"280","Ind280",2868,175,173,278,242,339,355,312,312,254,286,178,168,135,143,267,265,126,120,191,191,190,204,318,280
"246","Ind246",2533,167,161,242,246,359,355,312,312,252,266,170,170,135,137,267,265,118,124,191,191,204,198,290,282
"1750","Ind1750",17605,157,143,252,242,355,359,308,308,286,290,176,178,143,141,267,265,116,124,191,191,206,204,294,282
"1388","Ind1388",14046,157,0,254,240,355,339,312,312,266,278,178,168,135,135,267,271,120,122,188,191,206,208,282,294
"1224","Ind1224",12382,173,157,242,260,359,339,312,312,278,296,170,172,135,135,263,269,126,118,191,191,214,206,282,292
"1555","Ind1555",15684,165,157,240,242,359,355,312,308,278,272,170,168,135,137,275,265,116,120,191,191,204,190,282,294
"1887","Ind1887",19025,173,165,246,246,355,355,308,308,268,258,166,168,143,135,265,267,120,124,191,191,206,198,284,294
"846","Ind846",8475,153,181,242,254,355,355,312,312,286,278,170,170,135,135,273,269,120,124,191,188,196,212,0,0
"629","Ind629",6179,157,183,254,246,359,355,308,312,272,248,170,176,135,143,265,269,120,120,191,191,198,198,282,282
"250","Ind250",2546,165,165,254,246,339,355,312,312,0,0,174,178,135,135,269,275,124,130,191,191,206,204,298,292
"1452","Ind1452",14676,153,153,242,278,355,355,308,308,258,288,164,168,135,133,269,257,124,120,188,188,198,206,286,290
"1257","Ind1257",12647,163,183,244,242,355,355,312,308,278,298,178,166,135,135,265,265,112,124,191,191,206,204,294,284
"1315","Ind1315",13193,167,161,254,240,355,355,312,308,248,292,168,168,143,137,267,267,120,116,200,191,198,198,282,290
"492","Ind492",4972,143,157,242,246,355,359,308,312,248,0,166,170,135,135,267,271,120,118,188,191,206,206,282,294
"1305","Ind1305",13082,173,173,250,242,355,355,308,312,272,278,164,184,135,135,265,269,118,120,191,188,198,206,290,290
"1186","Ind1186",12079,175,171,242,246,339,355,312,308,298,266,166,168,141,141,259,271,124,120,191,191,214,206,286,294
"285","Ind285",2951,177,165,242,242,355,359,308,312,288,258,168,164,135,135,265,263,118,120,191,188,212,198,292,294
"369","Ind369",3788,159,157,246,240,355,355,308,308,278,292,174,176,143,141,261,267,124,120,191,191,210,206,286,298
"239","Ind239",2460,169,169,242,242,355,0,312,312,286,292,170,174,135,135,259,263,120,120,191,191,206,210,282,284
"1424","Ind1424",14417,157,165,240,240,363,355,312,312,268,248,176,176,135,141,265,271,120,118,191,191,206,208,300,292
"376","Ind376",3840,171,157,240,242,355,355,312,312,298,0,176,164,135,137,263,259,120,124,188,200,210,206,292,294
"1335","Ind1335",13473,167,143,246,238,339,359,312,308,290,272,164,170,137,137,259,263,118,120,191,191,210,206,292,282
"898","Ind898",8816,173,169,254,0,363,355,312,312,272,248,178,178,139,135,275,269,118,120,191,200,206,198,292,304
"607","Ind607",5977,157,157,242,242,339,359,308,308,292,248,176,176,139,135,259,265,120,124,191,191,204,190,304,292
"1821","Ind1821",18375,171,187,242,254,355,355,308,304,266,294,170,178,133,139,263,267,124,126,188,188,206,198,288,288
"325","Ind325",3345,175,165,252,242,355,359,312,308,278,278,170,170,141,135,263,269,124,126,200,191,206,206,282,288
"998","Ind998",9957,177,157,242,264,355,359,308,312,286,288,166,168,135,135,271,269,118,120,191,188,198,198,306,290
"1410","Ind1410",14241,159,157,246,242,359,355,312,308,298,272,168,168,133,135,275,267,124,120,194,191,208,206,294,290
"604","Ind604",5961,161,171,246,242,355,355,308,312,0,0,174,174,135,141,267,275,118,118,188,191,200,208,284,290
"319","Ind319",3289,155,143,254,278,339,339,312,312,290,298,178,168,141,137,271,265,120,124,191,191,238,206,282,282
"788","Ind788",7796,171,159,240,242,359,355,312,308,252,266,178,178,135,135,267,265,124,120,191,191,206,206,288,306
"1733","Ind1733",17431,167,167,242,238,339,367,308,312,266,278,164,172,135,141,267,267,120,124,191,191,208,214,318,306
"316","Ind316",3238,157,163,246,248,355,355,312,304,294,268,170,170,137,133,275,269,130,120,191,191,206,214,282,290
"236","Ind236",2434,151,153,240,240,359,359,312,312,278,296,174,174,135,137,267,267,124,116,185,191,204,206,284,294
"160","Ind160",1599,153,149,242,240,355,359,308,312,258,272,168,170,135,133,275,275,130,126,191,191,208,206,282,294
"38","Ind38",492,143,171,242,240,359,363,312,312,268,298,170,170,147,139,269,265,124,128,191,191,206,206,284,282
"3","Ind3",16,143,167,242,242,355,355,312,312,272,278,172,178,135,135,263,263,124,120,191,191,238,206,286,294
"1123","Ind1123",11370,143,167,242,242,355,339,312,312,272,248,168,164,135,135,267,267,120,116,188,191,206,206,290,294
"253","Ind253",2570,171,169,242,242,363,363,308,312,306,286,170,164,143,135,269,265,120,118,191,188,206,204,290,294
"1536","Ind1536",15527,157,181,240,246,339,339,312,312,266,252,176,170,137,147,269,265,116,112,188,191,206,206,306,306
"1301","Ind1301",13073,157,161,240,242,355,355,312,312,258,258,170,170,137,135,265,265,124,120,191,191,214,206,294,292
"153","Ind153",1558,179,157,242,254,363,359,312,312,272,298,172,170,135,143,263,275,124,116,194,188,196,206,290,290
"857","Ind857",8539,171,169,242,278,363,355,312,312,278,266,178,178,131,135,267,257,124,130,191,191,198,206,308,296
"1261","Ind1261",12664,157,157,242,240,339,355,312,308,0,0,182,172,137,137,265,259,124,124,191,191,204,198,282,294
"768","Ind768",7526,161,157,242,240,355,359,312,308,248,272,176,168,135,135,271,267,112,120,188,188,210,198,290,292
"904","Ind904",8904,169,173,246,240,359,355,308,312,292,286,170,168,135,143,265,267,116,118,191,191,206,206,282,294
"765","Ind765",7516,169,143,242,242,355,355,308,312,294,0,176,176,135,135,265,271,122,124,191,191,206,198,290,282
"1106","Ind1106",11222,165,153,242,242,355,355,312,312,252,278,170,176,143,143,267,267,112,124,191,191,206,198,284,292
"684","Ind684",6739,173,173,240,240,355,355,312,312,252,248,176,178,137,143,263,267,122,124,191,191,198,210,294,290
"1157","Ind1157",11750,157,169,238,240,355,355,312,312,266,272,170,170,135,133,259,269,118,120,191,191,214,198,318,284
"1370","Ind1370",13825,169,175,242,242,355,355,312,312,248,278,170,168,141,135,267,267,120,118,191,188,198,206,294,300
"409","Ind409",4190,143,161,242,254,355,339,304,308,278,258,170,168,135,135,263,267,120,130,191,191,204,206,294,288
"538","Ind538",5279,159,0,240,254,355,363,312,308,288,272,170,178,141,135,275,263,120,118,191,188,206,210,284,290
"760","Ind760",7486,157,183,248,242,355,355,308,312,266,288,174,178,135,137,265,303,124,124,191,188,206,198,294,294
"771","Ind771",7553,161,157,242,0,355,355,312,312,268,248,176,178,137,141,265,271,116,118,191,191,206,212,286,294
"1791","Ind1791",18130,157,143,246,240,355,339,312,312,278,298,170,170,137,135,265,267,118,116,191,197,206,198,286,288
"1383","Ind1383",13993,137,157,246,240,355,339,308,308,328,298,168,178,141,133,265,265,124,112,188,191,214,206,292,292
"1950","Ind1950",19643,157,0,248,246,355,355,308,312,278,296,170,176,137,135,299,267,118,122,191,191,210,198,282,290
"222","Ind222",2261,187,159,242,246,355,359,312,312,278,252,174,170,141,135,271,261,122,124,191,191,196,204,290,284
"123","Ind123",1329,173,173,242,238,355,355,312,312,284,272,168,170,135,135,271,263,124,120,194,191,238,198,298,286
"740","Ind740",7285,157,157,248,242,355,355,312,312,266,278,168,170,135,137,259,269,126,112,191,191,204,198,292,318
