"","site","round","sample_pt","sample_id","year","barcode_id","active_flower","final_id","notes","pollen","lat","long","ClusterIndex"
"23","ED",10,"ED12","10_ED12",2022,"ED10_12_02","TRRE","B. impatiens","","y","49.0941941","-122.9295817",264
"24","ED",10,"ED12","10_ED12",2022,"ED10_12_03","TRRE","B. impatiens","","y","49.0941941","-122.9295817",265
"25","ED",10,"ED12","10_ED12",2022,"ED10_12_04","TRRE","B. impatiens","","y","49.0941941","-122.9295817",266
"26","ED",10,"ED12","10_ED12",2022,"ED10_12_05","TRRE","B. impatiens","","n","49.0941941","-122.9295817",267
"27","ED",10,"ED12","10_ED12",2022,"ED10_12_06","TRRE","B. impatiens","","y","49.0941941","-122.9295817",268
"28","ED",10,"ED17","10_ED17",2022,"ED10_17_01","TRIN","B. impatiens","","n","49.0940828","-122.9349878",269
"29","ED",10,"ED17","10_ED17",2022,"ED10_17_02","LYSA","B. impatiens","","n","49.0940828","-122.9349878",127
"30","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_02","IMGL","B. impatiens","","n","49.0978928","-122.9307244",270
"31","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_03","IMGL","B. impatiens","","y","49.0978928","-122.9307244",163
"32","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_04","IMGL","B. impatiens","","y","49.0978928","-122.9307244",271
"33","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_05","IMGL","B. impatiens","","y","49.0978928","-122.9307244",272
"34","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_06","IMGL","B. impatiens","","y","49.0978928","-122.9307244",1025
"35","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_07","IMGL","B. impatiens","","y","49.0978928","-122.9307244",273
"36","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_08","IMGL","B. impatiens","","y","49.0978928","-122.9307244",135
"37","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_09","IMGL","B. impatiens","","y","49.0978928","-122.9307244",274
"38","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_10","IMGL","B. impatiens","","y","49.0978928","-122.9307244",61
"39","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_11","IMGL","B. impatiens","","n","49.0978928","-122.9307244",275
"40","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_12","IMGL","B. impatiens","","n","49.0978928","-122.9307244",236
"41","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_13","IMGL","B. impatiens","","n","49.0978928","-122.9307244",138
"42","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_14","IMGL","B. impatiens","","y","49.0978928","-122.9307244",276
"43","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_15","IMGL","B. impatiens","","y","49.0978928","-122.9307244",277
"44","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_16","IMGL","B. impatiens","","y","49.0978928","-122.9307244",278
"45","ED",10,"ED19A","10_ED19A",2022,"ED10_19A_17","IMGL","B. impatiens","","y","49.0978928","-122.9307244",279
"46","ED",10,"ED20A","10_ED20A",2022,"ED10_20A_01","VICR","B. mixtus","","0","49.1046332","-122.9294281",321
"47","ED",10,"ED21A","10_ED21A",2022,"ED10_21A_01","RULA","B. impatiens","","y","49.1046683","-122.9321746",15
"48","ED",10,"ED21A","10_ED21A",2022,"ED10_21A_02","RARA","B. impatiens","","y","49.1046683","-122.9321746",1043
"49","ED",10,"ED21A","10_ED21A",2022,"ED10_21A_03","RARA","B. impatiens","","y","49.1046683","-122.9321746",281
"50","ED",10,"ED21A","10_ED21A",2022,"ED10_21A_04","SPDO","B. impatiens","","y","49.1046683","-122.9321746",282
"51","ED",10,"ED21A","10_ED21A",2022,"ED10_21A_05","SPDO","B. impatiens","","y","49.1046683","-122.9321746",283
"52","ED",10,"ED21A","10_ED21A",2022,"ED10_21A_06","SPDO","B. impatiens","","y","49.1046683","-122.9321746",253
"53","ED",10,"ED21A","10_ED21A",2022,"ED10_21A_07","SPDO","B. impatiens","","y","49.1046683","-122.9321746",284
"54","ED",10,"ED21A","10_ED21A",2022,"ED10_21A_08","SPDO","B. mixtus","","0","49.1046683","-122.9321746",231
"55","ED",10,"ED22B","10_ED22B",2022,"ED10_22B_01","SOAR","B. impatiens","","n","49.1046204","-122.9460145",105
"56","ED",10,"ED22B","10_ED22B",2022,"ED10_22B_02","SOAR","B. impatiens","","y","49.1046204","-122.9460145",162
"57","ED",10,"ED22B","10_ED22B",2022,"ED10_22B_03","RARA","B. impatiens","","y","49.1046204","-122.9460145",46
"58","ED",10,"ED22B","10_ED22B",2022,"ED10_22B_04","RARA","B. impatiens","","n","49.1046204","-122.9460145",285
"59","ED",10,"ED22B","10_ED22B",2022,"ED10_22B_05","TRHY","B. impatiens","","y","49.1046204","-122.9460145",286
"60","ED",10,"ED22B","10_ED22B",2022,"ED10_22B_06","VICR","B. impatiens","","y","49.1046204","-122.9460145",287
"61","ED",10,"ED23A","10_ED23A",2022,"ED10_23A_01","TRHY","B. impatiens","","n","49.1010173","-122.9460843",288
"62","ED",10,"ED24A","10_ED24A",2022,"ED10_24A_01","HYRA","B. impatiens","","n","49.1046616","-122.940654",289
"63","ED",10,"ED24A","10_ED24A",2022,"ED10_24A_02","HYRA","B. impatiens","","y","49.1046616","-122.940654",290
"64","ED",10,"ED24A","10_ED24A",2022,"ED10_24A_03","HYRA","B. impatiens","","y","49.1046616","-122.940654",291
"65","ED",10,"ED24A","10_ED24A",2022,"ED10_24A_04","HYRA","B. impatiens","","y","49.1046616","-122.940654",66
"66","ED",10,"ED24A","10_ED24A",2022,"ED10_24A_05","TRRE","B. impatiens","","y","49.1046616","-122.940654",292
"67","ED",10,"ED24A","10_ED24A",2022,"ED10_24A_06","RASA","B. impatiens","","y","49.1046616","-122.940654",293
"68","ED",10,"ED25A","10_ED25A",2022,"ED10_25A_01","LYSA","B. impatiens","","y","49.1009682","-122.9383971",246
"69","ED",10,"ED25A","10_ED25A",2022,"ED10_25A_02","LYSA","B. impatiens","","y","49.1009682","-122.9383971",289
"70","ED",10,"ED25A","10_ED25A",2022,"ED10_25A_03","LYSA","B. impatiens","","y","49.1009682","-122.9383971",294
"71","ED",10,"ED29","10_ED29",2022,"ED10_29_01","TAVU","B. impatiens","","y","49.0946604","-122.9406617",207
"72","ED",10,"ED29","10_ED29",2022,"ED10_29_02","LYSA","B. impatiens","","y","49.0946604","-122.9406617",195
"73","ED",10,"ED29","10_ED29",2022,"ED10_29_03","LYSA","B. impatiens","","y","49.0946604","-122.9406617",295
"74","ED",10,"ED29","10_ED29",2022,"ED10_29_04","LYSA","B. impatiens","","y","49.0946604","-122.9406617",296
"75","ED",10,"ED29","10_ED29",2022,"ED10_29_05","LYSA","B. impatiens","","y","49.0946604","-122.9406617",1027
"76","ED",10,"ED29","10_ED29",2022,"ED10_29_06","LYSA","B. mixtus","","0","49.0946604","-122.9406617",301
"77","ED",10,"ED29","10_ED29",2022,"ED10_29_07","LYSA","B. impatiens","","y","49.0946604","-122.9406617",122
"78","ED",10,"ED32","10_ED32",2022,"ED10_32_01","TRRE","B. impatiens","","y","49.0910852","-122.9303897",297
"79","ED",10,"ED32","10_ED32",2022,"ED10_32_02","TRRE","B. impatiens","","y","49.0910852","-122.9303897",298
"80","ED",10,"ED32","10_ED32",2022,"ED10_32_03","TRRE","B. impatiens","","y","49.0910852","-122.9303897",299
"81","ED",10,"ED32","10_ED32",2022,"ED10_32_04","TRRE","B. impatiens","","y","49.0910852","-122.9303897",245
"82","ED",2,"ED02","2_ED02",2022,"ED2_02_01","RAAC","B. impatiens","","y","49.0907749","-122.9404472",2
"83","ED",2,"ED02","2_ED02",2022,"ED2_02_02","RAAC","B. impatiens","","y","49.0907749","-122.9404472",3
"84","ED",2,"ED13","2_ED13",2022,"ED2_13_01","N/A","B. mixtus","male","n","49.0968308","-122.9358556",NA
"85","ED",2,"ED16","2_ED16",2022,"ED2_16_01","RONU","B. mixtus","","1","49.0908698","-122.9480405",590
"86","ED",2,"ED28","2_ED28",2022,"ED2_28_02","ROCA","B. impatiens","","y","49.1002867","-122.9346774",4
"87","ED",2,"ED28","2_ED28",2022,"ED2_28_03","RHPO","B. mixtus","","1","49.1002867","-122.9346774",579
"88","ED",3,"ED01","3_ED01",2022,"ED3_01_03","SIAR","B. mixtus","","0","49.0954133","-122.9487118",534
"89","ED",3,"ED06","3_ED06",2022,"ED3_06_01","TRRE","B. mixtus","","1","49.0937503","-122.9571174",754
"90","ED",3,"ED12","3_ED12",2022,"ED3_12_01","RONU","B. impatiens","","y","49.0941941","-122.9295817",5
"91","ED",3,"ED12","3_ED12",2022,"ED3_12_02","RONU","B. impatiens","","y","49.0941941","-122.9295817",6
"92","ED",3,"ED17","3_ED17",2022,"ED3_17_01","dipu","B. impatiens","","n","49.0940828","-122.9349878",7
"93","ED",3,"ED20A","3_ED20A",2022,"ED3_20A_01","TRHY","B. impatiens","","y","49.1046332","-122.9294281",8
"94","ED",3,"ED20A","3_ED20A",2022,"ED3_20A_04","TRHY","B. mixtus","","0","49.1046332","-122.9294281",557
"95","ED",3,"ED21A","3_ED21A",2022,"ED3_21A_01","RULA","B. mixtus","","1","49.1046683","-122.9321746",528
"96","ED",3,"ED25B","3_ED25B",2022,"ED3_25B_02","N/A","B. mixtus","","1","49.10081","-122.9371909",540
"97","ED",3,"ED27","3_ED27",2022,"ED3_27_01","VISA","B. mixtus","","0","49.1002059","-122.9312067",544
"98","ED",3,"ED27","3_ED27",2022,"ED3_27_02","VISA","B. mixtus","","0","49.1002059","-122.9312067",535
"99","ED",3,"ED27","3_ED27",2022,"ED3_27_05","VISA","B. mixtus","","0","49.1002059","-122.9312067",536
"100","ED",3,"ED28","3_ED28",2022,"ED3_28_01","AQVU","B. mixtus","","1","49.1002867","-122.9346774",527
"101","ED",3,"ED28","3_ED28",2022,"ED3_28_02","ROCA","B. impatiens","","y","49.1002867","-122.9346774",9
"102","ED",3,"ED28","3_ED28",2022,"ED3_28_03","CAPO","B. impatiens","","y","49.1002867","-122.9346774",10
"103","ED",3,"ED31","3_ED31",2022,"ED3_31_01","DIPU","B. impatiens","","y","49.091685","-122.9349074",11
"104","ED",3,"ED31","3_ED31",2022,"ED3_31_02","nest","B. mixtus","nest 50 m south of red barn","0","49.091685","-122.9349074",538
"105","ED",4,"ED10","4_ED10",2022,"ED4_10_02","RUAR","B. mixtus","","2","49.1053113","-122.9572629",623
"106","ED",4,"ED10","4_ED10",2022,"ED4_10_03","RUAR","B. mixtus","","0","49.1053113","-122.9572629",633
"107","ED",4,"ED10","4_ED10",2022,"ED4_10_04","RUAR","B. mixtus","","1","49.1053113","-122.9572629",632
"108","ED",4,"ED10","4_ED10",2022,"ED4_10_05","RUAR","B. mixtus","","2","49.1053113","-122.9572629",627
"109","ED",4,"ED10","4_ED10",2022,"ED4_10_06","RUAR","B. mixtus","","0","49.1053113","-122.9572629",631
"110","ED",4,"ED10","4_ED10",2022,"ED4_10_07","RUAR","B. impatiens","","y","49.1053113","-122.9572629",12
"111","ED",4,"ED10","4_ED10",2022,"ED4_10_08","RUAR","B. mixtus","","1","49.1053113","-122.9572629",634
"112","ED",4,"ED12","4_ED12",2022,"ED4_12_01","RONU","B. impatiens","","y","49.0941941","-122.9295817",13
"113","ED",4,"ED12","4_ED12",2022,"ED4_12_02","RONU","B. impatiens","","y","49.0941941","-122.9295817",1024
"114","ED",4,"ED13","4_ED13",2022,"ED4_13_01","RUAR","B. impatiens","","n","49.0968308","-122.9358556",15
"115","ED",4,"ED13","4_ED13",2022,"ED4_13_03","RUAR","B. mixtus","","0","49.0968308","-122.9358556",624
"116","ED",4,"ED17","4_ED17",2022,"ED4_17_01","CHAN","B. mixtus","","0","49.0940828","-122.9349878",622
"117","ED",4,"ED31","4_ED31",2022,"ED4_31_01","TRRE","B. impatiens","","n","49.091685","-122.9349074",16
"118","ED",5,"ED01","5_ED01",2022,"ED5_01_03","flying","B. impatiens","","y","49.0954133","-122.9487118",17
"119","ED",5,"ED06","5_ED06",2022,"ED5_06_01","SIOR","B. mixtus","","1","49.0937503","-122.9571174",443
"120","ED",5,"ED07","5_ED07",2022,"ED5_07_01","SIOR","B. mixtus","","0","49.0970105","-122.9571978",600
"121","ED",5,"ED07","5_ED07",2022,"ED5_07_02","SIOR","B. impatiens","","n","49.0970105","-122.9571978",18
"122","ED",5,"ED09","5_ED09",2022,"ED5_09_01","TRRE","B. mixtus","","0","49.1028941","-122.9571922",601
"123","ED",5,"ED10","5_ED10",2022,"ED5_10_01","RUAR","B. mixtus","","0","49.1053113","-122.9572629",614
"124","ED",5,"ED10","5_ED10",2022,"ED5_10_02","RUAR","B. impatiens","","y","49.1053113","-122.9572629",1026
"125","ED",5,"ED10","5_ED10",2022,"ED5_10_03","RUAR","B. mixtus","","0","49.1053113","-122.9572629",611
"126","ED",5,"ED10","5_ED10",2022,"ED5_10_04","RUAR","B. mixtus","","1","49.1053113","-122.9572629",633
"127","ED",5,"ED10","5_ED10",2022,"ED5_10_05","RUAR","B. impatiens","","y","49.1053113","-122.9572629",20
"128","ED",5,"ED10","5_ED10",2022,"ED5_10_06","RUAR","B. mixtus","","1","49.1053113","-122.9572629",616
"129","ED",5,"ED10","5_ED10",2022,"ED5_10_07","RUAR","B. impatiens","","y","49.1053113","-122.9572629",21
"130","ED",5,"ED11","5_ED11",2022,"ED5_11_01","RUAR","B. mixtus","queen","1","49.0998336","-122.9364988",620
"131","ED",5,"ED11","5_ED11",2022,"ED5_11_02","RUAR","B. impatiens","","y","49.0998336","-122.9364988",1028
"132","ED",5,"ED11","5_ED11",2022,"ED5_11_03","RUAR","B. impatiens","","y","49.0998336","-122.9364988",23
"133","ED",5,"ED12","5_ED12",2022,"ED5_12_01","SPDO","B. mixtus","","1","49.0941941","-122.9295817",471
"134","ED",5,"ED13","5_ED13",2022,"ED5_13_02","RUAR","B. mixtus","","1","49.0968308","-122.9358556",288
"135","ED",5,"ED13","5_ED13",2022,"ED5_13_03","TRRE","B. mixtus","","1","49.0968308","-122.9358556",438
"136","ED",5,"ED14","5_ED14",2022,"ED5_14_02","SPDO","B. mixtus","","2","49.0974916","-122.9390522",604
"137","ED",5,"ED15","5_ED15",2022,"ED5_15_01","RUAR","B. impatiens","male","n","49.0918464","-122.9461469",24
"138","ED",5,"ED15","5_ED15",2022,"ED5_15_02","SOAR","B. mixtus","","2","49.0918464","-122.9461469",441
"139","ED",5,"ED15","5_ED15",2022,"ED5_15_03","SOAR","B. mixtus","","0","49.0918464","-122.9461469",164
"140","ED",5,"ED22B","5_ED22B",2022,"ED5_22B_01","TRRE","B. impatiens","","n","49.1046204","-122.9460145",25
"141","ED",5,"ED24A","5_ED24A",2022,"ED5_24A_01","flying","B. impatiens","","n","49.1046616","-122.940654",26
"142","ED",5,"ED25A","5_ED25A",2022,"ED5_25A_01","SPDO","B. mixtus","","1","49.1009682","-122.9383971",603
"143","ED",5,"ED25A","5_ED25A",2022,"ED5_25A_02","SPDO","B. mixtus","","2","49.1009682","-122.9383971",615
"144","ED",5,"ED25A","5_ED25A",2022,"ED5_25A_03","SPDO","B. mixtus","","2","49.1009682","-122.9383971",753
"145","ED",5,"ED25A","5_ED25A",2022,"ED5_25A_04","SPDO","B. mixtus","","0","49.1009682","-122.9383971",609
"146","ED",5,"ED27","5_ED27",2022,"ED5_27_05","VICR","B. impatiens","male","","49.1002059","-122.9312067",NA
"147","ED",5,"ED27","5_ED27",2022,"ED5_27_08","VICR","B. impatiens","","n","49.1002059","-122.9312067",1
"148","ED",5,"ED27A","5_ED27A",2022,"ED5_27A_02","VICR","B. impatiens","","y","49.1002656","-122.9297475",27
"149","ED",5,"ED32","5_ED32",2022,"ED5_32_03","TRRE","B. impatiens","","y","49.0910852","-122.9303897",28
"150","ED",6,"ED01","6_ED01",2022,"ED6_01_01","VICR","B. impatiens","","y","49.0954133","-122.9487118",29
"151","ED",6,"ED01","6_ED01",2022,"ED6_01_04","TRHY","B. impatiens","","n","49.0954133","-122.9487118",1030
"152","ED",6,"ED01","6_ED01",2022,"ED6_01_05","TRHY","B. impatiens","","n","49.0954133","-122.9487118",31
"153","ED",6,"ED01","6_ED01",2022,"ED6_01_06","TRHY","B. impatiens","","y","49.0954133","-122.9487118",32
"154","ED",6,"ED01","6_ED01",2022,"ED6_01_07","CASI","B. impatiens","","n","49.0954133","-122.9487118",33
"155","ED",6,"ED02","6_ED02",2022,"ED6_02_01","SPDO","B. impatiens","","y","49.0907749","-122.9404472",34
"156","ED",6,"ED02","6_ED02",2022,"ED6_02_02","SPDO","B. mixtus","","1","49.0907749","-122.9404472",286
"157","ED",6,"ED05","6_ED05",2022,"ED6_05_01","SPDO","B. impatiens","","y","49.0935866","-122.9462978",35
"158","ED",6,"ED06","6_ED06",2022,"ED6_06_02","CHAN","B. mixtus","queen","0","49.0937503","-122.9571174",283
"159","ED",6,"ED06","6_ED06",2022,"ED6_06_03","CHAN","B. mixtus","","1","49.0937503","-122.9571174",310
"160","ED",6,"ED06","6_ED06",2022,"ED6_06_04","CHAN","B. mixtus","","0","49.0937503","-122.9571174",249
"161","ED",6,"ED06","6_ED06",2022,"ED6_06_05","CHAN","B. impatiens","","n","49.0937503","-122.9571174",1031
"162","ED",6,"ED07","6_ED07",2022,"ED6_07_02","SIOR","B. mixtus","","0","49.0970105","-122.9571978",272
"163","ED",6,"ED07","6_ED07",2022,"ED6_07_03","EPCI","B. impatiens","","n","49.0970105","-122.9571978",36
"164","ED",6,"ED09","6_ED09",2022,"ED6_09_01","TRRE","B. impatiens","","n","49.1028941","-122.9571922",37
"165","ED",6,"ED09","6_ED09",2022,"ED6_09_02","TRRE","B. impatiens","","y","49.1028941","-122.9571922",38
"166","ED",6,"ED09","6_ED09",2022,"ED6_09_03","TRRE","B. impatiens","","y","49.1028941","-122.9571922",39
"167","ED",6,"ED09","6_ED09",2022,"ED6_09_04","TRRE","B. mixtus","","0","49.1028941","-122.9571922",282
"168","ED",6,"ED09","6_ED09",2022,"ED6_09_05","TRRE","B. impatiens","","n","49.1028941","-122.9571922",40
"169","ED",6,"ED10","6_ED10",2022,"ED6_10_01","TRRE","B. mixtus","","1","49.1053113","-122.9572629",312
"170","ED",6,"ED12","6_ED12",2022,"ED6_12_03","TRRE","B. impatiens","","y","49.0941941","-122.9295817",41
"171","ED",6,"ED13","6_ED13",2022,"ED6_13_02","TRRE","B. impatiens","","n","49.0968308","-122.9358556",42
"172","ED",6,"ED13","6_ED13",2022,"ED6_13_03","TRRE","B. mixtus","","2","49.0968308","-122.9358556",311
"173","ED",6,"ED13","6_ED13",2022,"ED6_13_04","TRRE","B. impatiens","","y","49.0968308","-122.9358556",43
"174","ED",6,"ED13","6_ED13",2022,"ED6_13_05","TRRE","B. impatiens","","y","49.0968308","-122.9358556",44
"175","ED",6,"ED13","6_ED13",2022,"ED6_13_06","TRRE","B. impatiens","","n","49.0968308","-122.9358556",1032
"176","ED",6,"ED13","6_ED13",2022,"ED6_13_07","TRRE","B. mixtus","","1","49.0968308","-122.9358556",275
"177","ED",6,"ED13","6_ED13",2022,"ED6_13_10","TRRE","B. impatiens","","y","49.0968308","-122.9358556",46
"178","ED",6,"ED13","6_ED13",2022,"ED6_13_12","TRRE","B. mixtus","","1","49.0968308","-122.9358556",246
"179","ED",6,"ED13","6_ED13",2022,"ED6_13_13","TRRE","B. mixtus","","2","49.0968308","-122.9358556",280
"180","ED",6,"ED13","6_ED13",2022,"ED6_13_14","TRRE","B. impatiens","","y","49.0968308","-122.9358556",47
"181","ED",6,"ED13","6_ED13",2022,"ED6_13_15","TRRE","B. impatiens","","y","49.0968308","-122.9358556",48
"182","ED",6,"ED13","6_ED13",2022,"ED6_13_17","TRRE","B. mixtus","","1","49.0968308","-122.9358556",745
"183","ED",6,"ED13","6_ED13",2022,"ED6_13_18","TRRE","B. impatiens","","n","49.0968308","-122.9358556",49
"184","ED",6,"ED13","6_ED13",2022,"ED6_13_19","TRRE","B. impatiens","","y","49.0968308","-122.9358556",50
"185","ED",6,"ED13","6_ED13",2022,"ED6_13_21","TRRE","B. impatiens","","y","49.0968308","-122.9358556",51
"186","ED",6,"ED13","6_ED13",2022,"ED6_13_24","TRRE","B. mixtus","","1","49.0968308","-122.9358556",243
"187","ED",6,"ED14","6_ED14",2022,"ED6_14_01","SPDO","B. mixtus","","1","49.0974916","-122.9390522",265
"188","ED",6,"ED14","6_ED14",2022,"ED6_14_02","SPDO","B. mixtus","","1","49.0974916","-122.9390522",287
"189","ED",6,"ED15","6_ED15",2022,"ED6_15_01","SPDO","B. impatiens","","y","49.0918464","-122.9461469",52
"190","ED",6,"ED16","6_ED16",2022,"ED6_16_01","RUAR","B. impatiens","","y","49.0908698","-122.9480405",53
"191","ED",6,"ED17","6_ED17",2022,"ED6_17_01","TRIN","B. impatiens","","y","49.0940828","-122.9349878",54
"192","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_01","IMGL","B. impatiens","","n","49.0978928","-122.9307244",55
"193","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_02","IMGL","B. impatiens","","n","49.0978928","-122.9307244",56
"194","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_03","IMGL","B. impatiens","","y","49.0978928","-122.9307244",57
"195","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_04","IMGL","B. impatiens","","n","49.0978928","-122.9307244",58
"196","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_05","IMGL","B. impatiens","male","n","49.0978928","-122.9307244",59
"197","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_06","IMGL","B. impatiens","","y","49.0978928","-122.9307244",60
"198","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_07","IMGL","B. impatiens","","y","49.0978928","-122.9307244",61
"199","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_08","IMGL","B. impatiens","","n","49.0978928","-122.9307244",62
"200","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_09","IMGL","B. impatiens","","y","49.0978928","-122.9307244",63
"201","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_10","IMGL","B. impatiens","","n","49.0978928","-122.9307244",11
"202","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_11","IMGL","B. impatiens","","y","49.0978928","-122.9307244",64
"203","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_12","IMGL","B. impatiens","male","n","49.0978928","-122.9307244",65
"204","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_13","IMGL","B. impatiens","","y","49.0978928","-122.9307244",66
"205","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_14","IMGL","B. impatiens","","n","49.0978928","-122.9307244",67
"206","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_15","IMGL","B. impatiens","","n","49.0978928","-122.9307244",68
"207","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_16","IMGL","B. impatiens","","y","49.0978928","-122.9307244",NA
"208","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_17","IMGL","B. impatiens","","y","49.0978928","-122.9307244",69
"209","ED",6,"ED19A","6_ED19A",2022,"ED6_19A_18","IMGL","B. impatiens","","n","49.0978928","-122.9307244",70
"210","ED",6,"ED22A","6_ED22A",2022,"ED6_22A_01","TRRE","B. mixtus","","1","49.1028989","-122.9460592",744
"211","ED",6,"ED22A","6_ED22A",2022,"ED6_22A_02","TRRE","B. impatiens","","y","49.1028989","-122.9460592",71
"212","ED",6,"ED22A","6_ED22A",2022,"ED6_22A_03","TRRE","B. mixtus","","2","49.1028989","-122.9460592",277
"213","ED",6,"ED22A","6_ED22A",2022,"ED6_22A_04","TRRE","B. mixtus","","1","49.1028989","-122.9460592",248
"214","ED",6,"ED22A","6_ED22A",2022,"ED6_22A_05","TRRE","B. mixtus","","1","49.1028989","-122.9460592",270
"215","ED",6,"ED22A","6_ED22A",2022,"ED6_22A_06","TRRE","B. mixtus","","1","49.1028989","-122.9460592",281
"216","ED",6,"ED22A","6_ED22A",2022,"ED6_22A_07","TRRE","B. impatiens","","n","49.1028989","-122.9460592",72
"217","ED",6,"ED22A","6_ED22A",2022,"ED6_22A_08","TRRE","B. impatiens","","n","49.1028989","-122.9460592",73
"218","ED",6,"ED22B","6_ED22B",2022,"ED6_22B_01","VICR","B. impatiens","","y","49.1046204","-122.9460145",74
"219","ED",6,"ED22B","6_ED22B",2022,"ED6_22B_02","VICR","B. mixtus","","0","49.1046204","-122.9460145",273
"220","ED",6,"ED23A","6_ED23A",2022,"ED6_23A_02","VICR","B. impatiens","","y","49.1010173","-122.9460843",63
"221","ED",6,"ED23A","6_ED23A",2022,"ED6_23A_03","VICR","B. impatiens","","n","49.1010173","-122.9460843",75
"222","ED",6,"ED26A","6_ED26A",2022,"ED6_26A_01","EPCI","B. mixtus","","0","49.1046742","-122.9356172",274
"223","ED",6,"ED27A","6_ED27A",2022,"ED6_27A_04","VICR","B. mixtus","","0","49.1002656","-122.9297475",298
